Reference,Value,Footprint,Manufacturer,MPN,LCSC,Quantity,Parameters,Catalog_URL
RF1,100k,R:0402,UNI-ROYAL,0402WGF1003TCE,C25741,1,RES 100kΩ ±1% 62.5mW 0402,https://www.lcsc.com/product-detail/C25741.html
RF10,100k,R:0402,UNI-ROYAL,0402WGF1003TCE,C25741,1,RES 100kΩ ±1% 62.5mW 0402,https://www.lcsc.com/product-detail/C25741.html
RF11,100k,R:0402,UNI-ROYAL,0402WGF1003TCE,C25741,1,RES 100kΩ ±1% 62.5mW 0402,https://www.lcsc.com/product-detail/C25741.html
RF12,100k,R:0402,UNI-ROYAL,0402WGF1003TCE,C25741,1,RES 100kΩ ±1% 62.5mW 0402,https://www.lcsc.com/product-detail/C25741.html
RF13,100k,R:0402,UNI-ROYAL,0402WGF1003TCE,C25741,1,RES 100kΩ ±1% 62.5mW 0402,https://www.lcsc.com/product-detail/C25741.html
RF14,100k,R:0402,UNI-ROYAL,0402WGF1003TCE,C25741,1,RES 100kΩ ±1% 62.5mW 0402,https://www.lcsc.com/product-detail/C25741.html
RF15,100k,R:0402,UNI-ROYAL,0402WGF1003TCE,C25741,1,RES 100kΩ ±1% 62.5mW 0402,https://www.lcsc.com/product-detail/C25741.html
RF16,100k,R:0402,UNI-ROYAL,0402WGF1003TCE,C25741,1,RES 100kΩ ±1% 62.5mW 0402,https://www.lcsc.com/product-detail/C25741.html
RF2,100k,R:0402,UNI-ROYAL,0402WGF1003TCE,C25741,1,RES 100kΩ ±1% 62.5mW 0402,https://www.lcsc.com/product-detail/C25741.html
RF3,100k,R:0402,UNI-ROYAL,0402WGF1003TCE,C25741,1,RES 100kΩ ±1% 62.5mW 0402,https://www.lcsc.com/product-detail/C25741.html
RF4,100k,R:0402,UNI-ROYAL,0402WGF1003TCE,C25741,1,RES 100kΩ ±1% 62.5mW 0402,https://www.lcsc.com/product-detail/C25741.html
RF5,100k,R:0402,UNI-ROYAL,0402WGF1003TCE,C25741,1,RES 100kΩ ±1% 62.5mW 0402,https://www.lcsc.com/product-detail/C25741.html
RF6,100k,R:0402,UNI-ROYAL,0402WGF1003TCE,C25741,1,RES 100kΩ ±1% 62.5mW 0402,https://www.lcsc.com/product-detail/C25741.html
RF7,100k,R:0402,UNI-ROYAL,0402WGF1003TCE,C25741,1,RES 100kΩ ±1% 62.5mW 0402,https://www.lcsc.com/product-detail/C25741.html
